"","id","dam","sire"
"181","1981_P-10_2",NA,NA
"182","1981_Q-06_1",NA,NA
"183","1981_Q-06_2",NA,NA
"184","1981_Q-12_1",NA,NA
"185","1981_S-07_1",NA,NA
"186","1981_S-08_1",NA,NA
"187","1981_S-08_2",NA,NA
"188","1981_U=103_1",NA,NA
"189","1981_U=103_2",NA,NA
"190","1981_V=11_1",NA,NA
"191","1981_V=11_2",NA,NA
"192","1981_V=NBLB_1",NA,NA
"193","1981_V=NBLB_2",NA,NA
"194","1982_124x_1",NA,NA
"195","1982_144x_1",NA,NA
"196","1982_144x_2",NA,NA
"197","1982_159_1",NA,NA
"198","1982_159_2",NA,NA
"199","1982_BGp_1",NA,NA
"200","1982_C-05_1",NA,NA
"201","1982_C-05_2",NA,NA
"202","1982_D-03_1",NA,NA
"203","1982_D-03_2",NA,NA
"204","1982_E-08_1",NA,NA
"205","1982_E-08_2",NA,NA
"206","1982_E-13_1",NA,NA
"207","1982_E-13_2",NA,NA
"208","1982_E-13_R1",NA,NA
"209","1982_I-02_1",NA,NA
"210","1982_I-09_1",NA,NA
"211","1982_I-09_2",NA,NA
"212","1982_K=7P_1",NA,NA
"213","1982_K=7P_2",NA,NA
"214","1982_K-04_2",NA,NA
"215","1982_L=23B_1",NA,NA
"216","1982_L=69_2",NA,NA
"217","1982_M=77B_1",NA,NA
"218","1982_M-01_1",NA,NA
"219","1982_M-01_2",NA,NA
"220","1982_M-01_3",NA,NA
"221","1982_M-10_2",NA,NA
"222","1982_N-05_R1",NA,NA
"223","1982_N-05_R2",NA,NA
"224","1982_O-09_1",NA,NA
"225","1982_O-09_2",NA,NA
"226","1982_Q-12_2",NA,NA
"227","1982_S-07_1",NA,NA
"228","1982_topBGp_1",NA,NA
"229","1982_U-02_1",NA,NA
"230","1982_U-02_2",NA,NA
"231","1982_V=37PR_1",NA,NA
"232","1982_wBG7_1",NA,NA
"233","1983_17back_1",NA,NA
"234","1983_57front_1",NA,NA
"235","1983_57front_2",NA,NA
"236","1983_97y_3",NA,NA
"237","1983_97y_4",NA,NA
"238","1983_barrels_1",NA,NA
"239","1983_barrels_2",NA,NA
"240","1983_C-06_2",NA,NA
"241","1983_E-09_1",NA,NA
"242","1983_E-09_2",NA,NA
"243","1983_E-12_2",NA,NA
"244","1983_G-01_2",NA,NA
